Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
31,34.5,0.36792452830188677,2.114042803352999,1.1084200993802378,5.000112767540991,1.4999999999999998,0.5128205128205128,3,0.5859358649258434,0.29773433716039505,1.4999999999999998,0.1999954894000902,0.5897435897435898,3,1.4691824203091917,1.1858255486808524,7.500000000000001,0.5,0.5943396226415094,1,39,67,6.141760991047555,5.842579391114877,31.52796707429201,0.2121320343559644,3
32,49.0,0.39285714285714285,1.5769230769230769,0.1877669040497027,2.0,1.4999999999999998,0.6060606060606061,2,1.1893939393939394,0.8199685877205815,3.0,0.5,0.6666666666666666,3,1.1197542001732448,0.9034721740227984,5.0,0.3333333333333333,0.6785714285714286,1,33,51,6.3254408806282,7.400948637789904,43.51450588725284,0.19104973174541973,3
Path Length Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
1,6.052587634458635,1.0,2.224430107526882,0.0,2.782193548387097,1.6666666666666667,0.7142857142857143,1,0.7718857248863742,0.0,1.4000000000000001,0.14377144977274833,0.7142857142857143,1,1.6168295140360143,0.9917681813310375,5.641578947368421,0.39999999999999997,0.35,3,7,0,36.20084611789417,33.067064449645784,191.32244706101432,0.518555686498567,3
2,23.773321170985863,0.9622641509433962,2.0339604017612682,2.6333768864679743,16.270830599658836,1.0525874326979918,0.37254901960784315,2,0.8910515986732604,0.3275799994812293,1.5,0.34202979201798767,0.43137254901960786,2,1.4037075935884964,1.0335598974664482,7.797761287888316,0.06145967741935484,0.40594059405940597,2,51,2,27.792596836554065,20.996588998892744,87.55185835387306,0.30413812651491046,3
3,35.906797010456174,0.8771929824561403,1.4792406192085765,0.33034225579402426,2.5,1.0588245797287767,0.4,3,0.8579947871880504,0.289217511102555,1.3875997410437806,0.5,0.64,1,1.3114688778840846,0.6448005181913209,3.7735413153456996,0.5,0.45544554455445546,1,50,7,31.18580644634767,23.723266636577804,103.7027372066547,1.0436900227582486,3
4,47.43959500326232,0.8225806451612904,1.4600740777012629,0.45409288268089776,3.5,1.0582861566297646,0.37254901960784315,1,0.8364896535179478,0.2885065997699368,1.5,0.2857142857142857,0.45098039215686275,2,1.1806123130334316,0.5141338626422182,2.485588252412335,0.2876989247311828,0.42574257425742573,1,51,11,36.57582519251566,35.48683345774876,213.99124015858072,3.4421745886384887,3
5,55.65159987823492,0.8225806451612904,1.4410555844325612,0.2951109059131056,2.5,1.0588245797287767,0.37254901960784315,1,0.7965742964851148,0.20470314382303137,1.25,0.5,0.5294117647058824,1,1.321083483760346,0.9480614636611617,6.6643952771718435,0.25,0.40594059405940597,2,51,11,35.00595235488946,27.845560784957552,128.37996909496584,1.902761151589976,3
