Branch Order Table.

j, binMax, BifPercent,DRmean,DRstdev,DRmax,DRmin, DRuf, DRcurve, PDRmean, PDRstdev,PDRmax,PDRmin, PDRuf,PDRcurve, TRmean,TRstdev,TRmax,TRmin,TRuf, TRcurve,Nbifs,Ntips,BPLmean,BPLstdev,BPLmax,BPLmin, BPLcurve
69,233.18222538033615,0.5466666666666666,1.652097442563388,0.37700531167702217,2.5,1.0908882126657864,0.5853658536585366,3,0.9166666666666666,0.4894725051862805,2.0,0.6666666666666666,0.7804878048780488,1,1.1340000000000001,0.5706453461749347,2.5,0.5,0.691358024691358,3,41,34,9.649365147817692,8.07748884972189,32.26287729730945,0.6801333444468238,3
70,234.22498725257935,0.5333333333333333,1.5199076018907491,0.2466731105630586,2.333385958185796,1.1318947368421053,0.625,2,0.785908285582795,0.3696780168998141,2.0,0.6666666666666666,0.675,2,1.0799992482469125,0.48797878860526916,2.0,0.5,0.691358024691358,1,40,35,12.900021893068638,14.314385928434287,79.00600267241109,0.8881441324469768,3
71,235.3956807102655,0.5125,1.549998308525034,0.1538973314698276,2.0,1.4999661705006768,0.5121951219512195,1,0.896825396825397,0.39255640244495954,1.5,0.5,0.4878048780487805,3,1.1365731343657595,0.4410264935745832,2.0,0.5,0.5555555555555556,1,41,39,15.451821759921582,19.45967681262737,93.71558050591433,0.3080584360149912,3
72,236.34420753118678,0.6307692307692307,1.5309401791935577,0.1342364013014565,2.0,1.3333634046775975,0.5365853658536586,1,0.7073804540775493,0.18200371383173644,1.3333634046775975,0.5699629524080935,0.6585365853658537,2,1.247220238412397,0.39716089609012917,1.5,0.39999999999999997,0.5609756097560976,1,41,24,14.560292069863175,15.15839283144999,83.7717229263517,0.6217716622683863,3
73,237.29778761830158,0.5063291139240507,1.5181488248545751,0.1706846648104805,2.0,1.192559964607898,0.6,3,0.8250015035672131,0.36100352500186594,1.5,0.5,0.75,3,1.0208587133526168,0.4765241100545334,2.0,0.4,0.691358024691358,1,40,39,16.49884888569764,18.3812475335922,87.04002783047281,0.43965895873963023,3
74,238.7107874637315,0.45555555555555555,2.0341035168932433,1.8073452211918073,8.0,1.1940298507462688,0.6829268292682927,2,0.9114583333333334,0.6675728588142248,2.0,0.125,0.8048780487804879,1,1.2805554302837203,0.942422798379161,5.333333333333333,0.33333333333333337,0.6296296296296297,2,41,49,12.784874570566874,11.663628843749866,65.17028186214147,0.542033209314699,3
75,239.45220442111363,0.6451612903225806,1.6666666666666667,0.32566947363946486,2.5,1.4999999999999998,0.7,1,0.7484848484848485,0.34524182711820883,1.5,0.39999999999999997,0.725,2,1.2045454545454548,0.5702775203499173,2.5,0.5,0.7283950617283951,1,40,22,11.928846656619573,12.991361429706782,75.7918896215651,0.15000000000000568,3
76,240.6195296482831,0.5256410256410257,1.5996488147497805,0.2984134784004337,2.5,1.1940298507462686,0.5853658536585366,3,0.8794871794871794,0.3787255581988736,1.5,0.5,0.6829268292682927,1,0.9365384615384615,0.46396885026593543,2.0,0.5,0.6790123456790124,3,41,37,11.533716949858478,11.245563390845158,52.05075880694747,0.31240998703627326,3
77,241.5612697192734,0.5774647887323944,1.645112003627473,0.3273883195099649,2.5,1.4884060998537705,0.6097560975609756,2,1.0091575091575091,0.48430959945804986,1.5,0.2857142857142857,0.6829268292682927,1,1.1181405715943427,0.6512937154097121,3.0,0.25,0.5853658536585366,1,41,30,12.46883370116298,14.654835071580674,82.28943774514774,0.7437188542308266,3
78,242.70127693384723,0.5,1.4678024632704643,0.20140906235911607,2.0,1.0360423717638785,0.5853658536585366,2,0.8397456185465045,0.3405293805353454,1.4999999999999998,0.5,0.6585365853658537,3,1.1519696059357003,0.45600541807591743,2.0,0.5,0.654320987654321,2,41,41,11.19050799770741,11.48377324864783,71.77651052375894,1.0742439201596654,3
